feedback_id,ride_id,user_rating,captain_rating,issue_category,comments
FDBK008632,RIDE041457,,5,No Helmet Provided,"Helmet not provided, unsafe"
FDBK008633,RIDE044444,4,4,Fare Overcharged,"Helmet not provided, unsafe"
FDBK008634,RIDE044655,5,1,Bike in Poor Condition,"Good service, will ride again"
FDBK008635,RIDE001999,4,1,Bike in Poor Condition,"Good service, will ride again"
FDBK008636,RIDE077036,1,1,Long Wait Time,"Good service, will ride again"
FDBK008637,RIDE072847,4,5,,"Good service, will ride again"
FDBK008638,RIDE043799,4,5,No Helmet Provided,Ride was smooth and quick
FDBK008639,RIDE059824,4,5,Route Issues / Longer Route Taken,
FDBK008640,RIDE029094,1,4,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK008641,RIDE012045,3,3,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK008642,RIDE029566,3,4,Fare Overcharged,Fare charged was higher than expected
FDBK008643,RIDE041888,3,4,No Helmet Provided,Ride was smooth and quick
FDBK008644,RIDE065616,5,3,Captain Arrived Late,Ride experience could be better
FDBK008645,,5,5,,Ride experience could be better
FDBK008646,RIDE062566,3,1,No Helmet Provided,Ride experience could be better
FDBK008647,RIDE025085,5,3,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK008648,RIDE018693,3,5,Long Wait Time,Bike was not clean
FDBK008649,RIDE068423,,1,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK008650,RIDE020419,3,1,No Helmet Provided,Captain arrived late
FDBK008651,RIDE044305,5,2,Captain Rude or Unfriendly,Fare charged was higher than expected
FDBK008652,RIDE058852,5,1,Long Wait Time,
FDBK008653,RIDE011799,1,3,Route Issues / Longer Route Taken,Traffic was handled well
FDBK008654,RIDE014846,4,4,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK008655,RIDE038333,5,3,Captain Rude or Unfriendly,Bike was not clean
FDBK008656,,5,4,Unsafe Driving / Speeding,
FDBK008657,RIDE077256,4,1,Unsafe Driving / Speeding,Ride experience could be better
FDBK008658,RIDE063005,2,2,No Issues,"Helmet not provided, unsafe"
FDBK008659,RIDE037498,1,1,No Issues,Ride was smooth and quick
FDBK008660,RIDE042888,1,4,Unsafe Driving / Speeding,Traffic was handled well
FDBK008661,,4,5,No Issues,Not satisfied with behaviour
FDBK008662,,3,4,Captain Arrived Late,Captain arrived late
FDBK008663,RIDE014114,1,1,No Helmet Provided,Captain arrived late
FDBK008664,RIDE055125,1,5,Unsafe Driving / Speeding,Captain arrived late
FDBK008665,RIDE041626,3,5,No Helmet Provided,Ride experience could be better
FDBK008666,RIDE019022,,1,Fare Overcharged,Ride experience could be better
FDBK008667,RIDE070231,2,1,Captain Arrived Late,Ride was smooth and quick
FDBK008668,RIDE061152,4,1,Bike in Poor Condition,Captain was polite and helpful
FDBK008669,RIDE045272,3,2,Long Wait Time,Fare charged was higher than expected
FDBK008670,RIDE014631,,4,Navigation Confusion,Ride experience could be better
FDBK008671,RIDE074687,3,3,Long Wait Time,Captain arrived late
FDBK008672,RIDE049898,3,5,Captain Rude or Unfriendly,Bike was not clean
FDBK008673,RIDE052937,,1,Captain Arrived Late,Ride experience could be better
FDBK008674,RIDE049206,2,3,Navigation Confusion,Captain was polite and helpful
FDBK008675,RIDE052799,1,5,Route Issues / Longer Route Taken,Bike was not clean
FDBK008676,RIDE012966,4,1,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008677,RIDE077108,2,4,Bike in Poor Condition,"Helmet not provided, unsafe"
FDBK008678,,2,2,Unsafe Driving / Speeding,Ride experience could be better
FDBK008679,RIDE056931,5,2,Fare Overcharged,Fare charged was higher than expected
FDBK008680,,3,2,,"Good service, will ride again"
FDBK008681,,1,3,Bike in Poor Condition,Captain arrived late
FDBK008682,RIDE050480,2,,Fare Overcharged,"Good service, will ride again"
FDBK008683,RIDE039729,5,3,No Issues,Fare charged was higher than expected
FDBK008684,RIDE059000,3,5,Route Issues / Longer Route Taken,Traffic was handled well
FDBK008685,RIDE065590,3,4,Bike in Poor Condition,Bike was not clean
FDBK008686,RIDE041304,4,5,No Helmet Provided,Fare charged was higher than expected
FDBK008687,RIDE057398,2,3,No Helmet Provided,Traffic was handled well
FDBK008688,RIDE064295,3,5,Captain Arrived Late,"Helmet not provided, unsafe"
FDBK008689,RIDE031169,1,2,Route Issues / Longer Route Taken,Captain arrived late
FDBK008690,RIDE065997,1,1,Captain Rude or Unfriendly,Ride experience could be better
FDBK008691,RIDE055427,4,2,Long Wait Time,"Helmet not provided, unsafe"
FDBK008692,RIDE077194,2,5,Fare Overcharged,Captain arrived late
FDBK008693,RIDE064074,2,1,Bike in Poor Condition,Captain was polite and helpful
FDBK008694,RIDE038654,,1,Long Wait Time,Traffic was handled well
FDBK008695,RIDE014224,3,4,Navigation Confusion,"Good service, will ride again"
FDBK008696,,5,5,Captain Arrived Late,Not satisfied with behaviour
FDBK008697,RIDE011868,1,5,Fare Overcharged,Not satisfied with behaviour
FDBK008698,RIDE021467,4,2,Long Wait Time,"Helmet not provided, unsafe"
FDBK008699,RIDE028163,1,1,Unsafe Driving / Speeding,
FDBK008700,RIDE038851,5,4,Navigation Confusion,
FDBK008701,RIDE078432,5,1,Long Wait Time,"Helmet not provided, unsafe"
FDBK008702,RIDE037487,2,5,Navigation Confusion,"Good service, will ride again"
FDBK008703,RIDE008686,2,1,Bike in Poor Condition,Not satisfied with behaviour
FDBK008704,RIDE050105,5,5,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008705,RIDE024112,3,2,Navigation Confusion,
FDBK008706,,,3,Fare Overcharged,Ride was smooth and quick
FDBK008707,RIDE032936,5,4,Bike in Poor Condition,Bike was not clean
FDBK008708,RIDE055818,1,1,,Bike was not clean
FDBK008709,RIDE040657,1,4,No Issues,Fare charged was higher than expected
FDBK008710,RIDE047350,4,5,Navigation Confusion,"Good service, will ride again"
FDBK008711,RIDE004337,3,3,Route Issues / Longer Route Taken,Bike was not clean
FDBK008712,RIDE045938,5,2,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK008713,RIDE014757,3,2,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK008714,RIDE051169,1,2,Route Issues / Longer Route Taken,Ride was smooth and quick
FDBK008715,RIDE020620,1,3,Unsafe Driving / Speeding,Traffic was handled well
FDBK008716,RIDE059218,,2,Bike in Poor Condition,"Good service, will ride again"
FDBK008717,RIDE056848,2,4,Unsafe Driving / Speeding,Ride was smooth and quick
FDBK008718,RIDE031821,4,4,Fare Overcharged,
FDBK008719,RIDE007839,4,1,Long Wait Time,Captain arrived late
FDBK008720,RIDE050907,2,4,Captain Rude or Unfriendly,"Helmet not provided, unsafe"
FDBK008721,RIDE007258,1,3,Long Wait Time,Ride was smooth and quick
FDBK008722,,1,5,,Not satisfied with behaviour
FDBK008723,RIDE046926,3,1,Long Wait Time,Fare charged was higher than expected
FDBK008724,,5,2,Captain Rude or Unfriendly,"Helmet not provided, unsafe"
FDBK008725,RIDE006411,2,2,,"Helmet not provided, unsafe"
FDBK008726,RIDE028012,1,1,No Helmet Provided,Captain arrived late
FDBK008727,RIDE021298,1,5,Captain Rude or Unfriendly,"Helmet not provided, unsafe"
FDBK008728,RIDE016589,2,4,No Issues,Captain arrived late
FDBK008729,RIDE053807,2,,,"Helmet not provided, unsafe"
FDBK008730,RIDE050358,5,5,Unsafe Driving / Speeding,Bike was not clean
FDBK008731,RIDE047509,5,2,Route Issues / Longer Route Taken,Traffic was handled well
FDBK008732,RIDE045451,4,2,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008733,RIDE033736,5,3,,
FDBK008734,RIDE008377,5,3,Captain Rude or Unfriendly,Traffic was handled well
FDBK008735,RIDE008075,4,,Long Wait Time,Captain was polite and helpful
FDBK008736,RIDE035707,4,4,Fare Overcharged,Captain arrived late
FDBK008737,RIDE044321,2,3,Fare Overcharged,"Helmet not provided, unsafe"
FDBK008738,RIDE005118,2,3,Unsafe Driving / Speeding,Ride experience could be better
FDBK008739,RIDE078389,4,5,Fare Overcharged,Ride experience could be better
FDBK008740,,5,2,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK008741,RIDE079449,2,5,Captain Arrived Late,"Helmet not provided, unsafe"
FDBK008742,RIDE066520,3,1,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK008743,RIDE024261,2,2,No Helmet Provided,Fare charged was higher than expected
FDBK008744,RIDE051561,1,5,Captain Rude or Unfriendly,Bike was not clean
FDBK008745,RIDE073405,5,2,Navigation Confusion,Bike was not clean
FDBK008746,RIDE067892,3,4,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008747,RIDE033079,3,1,Long Wait Time,Fare charged was higher than expected
FDBK008748,RIDE019878,2,4,Navigation Confusion,Not satisfied with behaviour
FDBK008749,RIDE014557,2,1,No Helmet Provided,
FDBK008750,RIDE047468,5,4,,"Helmet not provided, unsafe"
FDBK008751,RIDE018355,5,1,,Bike was not clean
FDBK008752,RIDE025825,,4,Unsafe Driving / Speeding,Traffic was handled well
FDBK008753,RIDE066088,5,4,Captain Arrived Late,Not satisfied with behaviour
FDBK008754,RIDE045022,1,2,Long Wait Time,Ride experience could be better
FDBK008755,RIDE041322,3,2,Captain Arrived Late,Traffic was handled well
FDBK008756,RIDE046959,5,5,No Helmet Provided,Captain arrived late
FDBK008757,RIDE022294,2,2,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008758,RIDE038134,1,3,,
FDBK008759,RIDE040723,5,1,No Issues,"Helmet not provided, unsafe"
FDBK008760,RIDE076341,4,3,Long Wait Time,"Good service, will ride again"
FDBK008761,RIDE054129,5,4,Unsafe Driving / Speeding,Bike was not clean
FDBK008762,RIDE003895,1,3,Fare Overcharged,Bike was not clean
FDBK008763,RIDE014646,5,3,Navigation Confusion,Captain was polite and helpful
FDBK008764,RIDE052386,1,3,Navigation Confusion,
FDBK008765,RIDE031542,4,4,,Fare charged was higher than expected
FDBK008766,RIDE000400,3,1,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008767,RIDE022130,2,4,Long Wait Time,"Helmet not provided, unsafe"
FDBK008768,RIDE065312,2,3,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK008769,RIDE042300,1,4,,"Good service, will ride again"
FDBK008770,RIDE014664,3,2,Fare Overcharged,Captain was polite and helpful
FDBK008771,RIDE057079,2,2,No Helmet Provided,Bike was not clean
FDBK008772,RIDE035488,4,2,Long Wait Time,Ride was smooth and quick
FDBK008773,RIDE060983,,,Captain Arrived Late,"Good service, will ride again"
FDBK008774,RIDE008204,4,4,Unsafe Driving / Speeding,Ride experience could be better
FDBK008775,RIDE069556,3,5,Navigation Confusion,Bike was not clean
FDBK008776,RIDE053028,3,4,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK008777,RIDE047502,5,,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008778,RIDE059405,4,2,Captain Arrived Late,Fare charged was higher than expected
FDBK008779,RIDE054048,1,5,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK008780,RIDE029290,,4,,Fare charged was higher than expected
FDBK008781,RIDE042161,2,3,Long Wait Time,Traffic was handled well
FDBK008782,RIDE024307,4,3,No Issues,
FDBK008783,RIDE063232,3,4,No Helmet Provided,Captain was polite and helpful
FDBK008784,RIDE052597,3,5,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK008785,,3,,Bike in Poor Condition,Not satisfied with behaviour
FDBK008786,RIDE059719,5,4,Bike in Poor Condition,Fare charged was higher than expected
FDBK008787,RIDE039499,5,1,Captain Rude or Unfriendly,"Good service, will ride again"
FDBK008788,RIDE066076,4,4,,Bike was not clean
FDBK008789,RIDE038366,1,3,Captain Arrived Late,Traffic was handled well
FDBK008790,RIDE066804,4,4,Long Wait Time,Traffic was handled well
FDBK008791,RIDE061130,2,4,Bike in Poor Condition,Not satisfied with behaviour
FDBK008792,RIDE014637,3,5,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008793,RIDE033881,2,4,,
FDBK008794,RIDE028364,2,2,Captain Arrived Late,Captain was polite and helpful
FDBK008795,RIDE027898,4,5,Fare Overcharged,Traffic was handled well
FDBK008796,,4,5,Fare Overcharged,Captain arrived late
FDBK008797,,5,3,Captain Arrived Late,Ride experience could be better
FDBK008798,RIDE025197,3,4,Captain Arrived Late,"Good service, will ride again"
FDBK008799,RIDE075644,3,3,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK008800,RIDE056304,1,2,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008801,RIDE006494,3,4,Unsafe Driving / Speeding,Bike was not clean
FDBK008802,RIDE051038,1,4,Long Wait Time,Fare charged was higher than expected
FDBK008803,RIDE077272,2,2,No Helmet Provided,Captain arrived late
FDBK008804,RIDE069390,4,1,Long Wait Time,Ride was smooth and quick
FDBK008805,RIDE047611,1,5,No Issues,Not satisfied with behaviour
FDBK008806,RIDE007739,4,2,No Helmet Provided,Captain arrived late
FDBK008807,RIDE050268,3,4,No Issues,"Good service, will ride again"
FDBK008808,RIDE029664,3,3,No Issues,Fare charged was higher than expected
FDBK008809,RIDE049206,1,1,,Captain arrived late
FDBK008810,RIDE069334,2,5,Fare Overcharged,Captain arrived late
FDBK008811,RIDE002218,1,1,Fare Overcharged,Bike was not clean
FDBK008812,RIDE003782,,1,Captain Arrived Late,Ride experience could be better
FDBK008813,RIDE025953,3,4,Route Issues / Longer Route Taken,Ride was smooth and quick
FDBK008814,RIDE061718,5,3,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008815,RIDE062423,1,4,Long Wait Time,"Helmet not provided, unsafe"
FDBK008816,RIDE042174,2,5,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008817,RIDE051297,1,2,Navigation Confusion,Traffic was handled well
FDBK008818,RIDE042300,4,1,Bike in Poor Condition,"Helmet not provided, unsafe"
FDBK008819,RIDE003009,3,,,"Good service, will ride again"
FDBK008820,,3,4,Navigation Confusion,"Helmet not provided, unsafe"
FDBK008821,RIDE041818,1,2,Navigation Confusion,Captain arrived late
FDBK008822,RIDE014641,2,3,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK008823,RIDE002603,2,2,,
FDBK008824,RIDE021130,4,1,Fare Overcharged,Fare charged was higher than expected
FDBK008825,RIDE014103,5,1,Captain Arrived Late,"Good service, will ride again"
FDBK008826,RIDE023878,3,2,Fare Overcharged,Not satisfied with behaviour
FDBK008827,RIDE044993,2,2,Unsafe Driving / Speeding,
FDBK008828,RIDE070318,5,,Unsafe Driving / Speeding,Not satisfied with behaviour
FDBK008829,RIDE043012,2,,Long Wait Time,Traffic was handled well
FDBK008830,RIDE001728,4,1,Route Issues / Longer Route Taken,Ride was smooth and quick
FDBK008831,RIDE060015,3,3,Long Wait Time,Ride was smooth and quick
FDBK008832,RIDE005940,4,5,Navigation Confusion,Fare charged was higher than expected
FDBK008833,,1,1,Long Wait Time,
FDBK008834,RIDE062891,1,,Navigation Confusion,"Good service, will ride again"
FDBK008835,RIDE052579,5,5,Bike in Poor Condition,Ride was smooth and quick
FDBK008836,RIDE036945,2,1,Unsafe Driving / Speeding,Captain arrived late
FDBK008837,RIDE007579,5,2,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK008838,RIDE071717,3,2,Fare Overcharged,Captain arrived late
FDBK008839,RIDE066540,2,5,Route Issues / Longer Route Taken,Captain arrived late
FDBK008840,RIDE073446,2,5,Captain Rude or Unfriendly,Fare charged was higher than expected
FDBK008841,RIDE020408,5,3,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008842,RIDE015221,2,1,No Helmet Provided,Ride was smooth and quick
FDBK008843,RIDE012231,2,3,No Issues,Captain was polite and helpful
FDBK008844,RIDE051215,4,3,,Captain was polite and helpful
FDBK008845,RIDE051821,5,3,No Issues,Ride experience could be better
FDBK008846,RIDE017776,1,5,Captain Arrived Late,Captain arrived late
FDBK008847,RIDE002430,4,4,,"Helmet not provided, unsafe"
FDBK008848,RIDE064367,5,3,Navigation Confusion,Captain was polite and helpful
FDBK008849,RIDE032633,,3,No Issues,Ride was smooth and quick
FDBK008850,RIDE048314,3,3,Captain Arrived Late,"Good service, will ride again"
FDBK008851,RIDE065707,4,4,No Issues,Fare charged was higher than expected
FDBK008852,,3,,Long Wait Time,
FDBK008853,RIDE053060,4,1,Fare Overcharged,Fare charged was higher than expected
FDBK008854,RIDE002058,2,5,,"Helmet not provided, unsafe"
FDBK008855,,1,1,Captain Arrived Late,Fare charged was higher than expected
FDBK008856,RIDE051798,3,4,Route Issues / Longer Route Taken,
FDBK008857,RIDE036523,4,4,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK008858,RIDE037844,5,5,Navigation Confusion,Ride was smooth and quick
FDBK008859,RIDE067672,4,3,Navigation Confusion,Ride was smooth and quick
FDBK008860,RIDE077283,3,2,Fare Overcharged,Fare charged was higher than expected
FDBK008861,RIDE023073,1,4,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK008862,RIDE028627,1,3,Fare Overcharged,"Helmet not provided, unsafe"
FDBK008863,RIDE076116,5,1,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008864,RIDE061892,,5,,"Helmet not provided, unsafe"
FDBK008865,RIDE061871,4,5,,"Good service, will ride again"
FDBK008866,RIDE022453,2,2,Unsafe Driving / Speeding,Captain arrived late
FDBK008867,RIDE023576,1,3,No Helmet Provided,"Helmet not provided, unsafe"
FDBK008868,RIDE036966,3,2,Route Issues / Longer Route Taken,
FDBK008869,RIDE058875,4,3,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008870,RIDE065447,3,5,Long Wait Time,"Good service, will ride again"
FDBK008871,RIDE058900,3,4,Captain Rude or Unfriendly,Ride was smooth and quick
FDBK008872,,3,2,No Issues,Captain arrived late
FDBK008873,,4,2,Fare Overcharged,Traffic was handled well
FDBK008874,RIDE004245,5,3,,"Helmet not provided, unsafe"
FDBK008875,RIDE043728,5,2,Unsafe Driving / Speeding,Ride was smooth and quick
FDBK008876,RIDE035257,5,5,Long Wait Time,Not satisfied with behaviour
FDBK008877,RIDE069094,1,4,Captain Arrived Late,Ride was smooth and quick
FDBK008878,RIDE046641,4,4,Captain Rude or Unfriendly,"Good service, will ride again"
FDBK008879,,3,1,Fare Overcharged,"Helmet not provided, unsafe"
FDBK008880,RIDE013195,3,2,Captain Arrived Late,Traffic was handled well
FDBK008881,RIDE075242,4,2,Bike in Poor Condition,Traffic was handled well
FDBK008882,RIDE058002,4,1,Route Issues / Longer Route Taken,Captain arrived late
FDBK008883,,3,2,Unsafe Driving / Speeding,Traffic was handled well
FDBK008884,RIDE042273,2,3,Bike in Poor Condition,Ride was smooth and quick
FDBK008885,RIDE027516,5,3,Captain Arrived Late,Not satisfied with behaviour
FDBK008886,,3,5,Long Wait Time,Ride experience could be better
FDBK008887,RIDE070797,5,3,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008888,RIDE047876,,5,No Helmet Provided,Ride experience could be better
FDBK008889,RIDE062467,,3,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008890,RIDE062034,1,1,Fare Overcharged,Ride was smooth and quick
FDBK008891,,5,1,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK008892,RIDE067909,2,1,,Captain arrived late
FDBK008893,RIDE035703,5,2,Long Wait Time,Captain arrived late
FDBK008894,RIDE026570,5,2,Long Wait Time,Ride was smooth and quick
FDBK008895,RIDE025409,3,4,No Issues,Fare charged was higher than expected
FDBK008896,,5,4,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008897,RIDE046200,1,3,,Captain was polite and helpful
FDBK008898,RIDE058162,2,2,Captain Arrived Late,Ride experience could be better
FDBK008899,RIDE039164,1,1,Bike in Poor Condition,Traffic was handled well
FDBK008900,RIDE033873,2,3,Captain Rude or Unfriendly,Captain arrived late
FDBK008901,RIDE058106,1,1,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008902,RIDE066582,5,4,No Helmet Provided,Fare charged was higher than expected
FDBK008903,RIDE022763,4,4,Fare Overcharged,Ride experience could be better
FDBK008904,RIDE062351,,4,Fare Overcharged,Bike was not clean
FDBK008905,RIDE043113,5,2,,Captain arrived late
FDBK008906,RIDE019208,1,1,Captain Arrived Late,Traffic was handled well
FDBK008907,RIDE078300,4,2,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK008908,RIDE049121,2,3,Route Issues / Longer Route Taken,"Helmet not provided, unsafe"
FDBK008909,,4,4,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK008910,RIDE047978,1,2,No Issues,Not satisfied with behaviour
FDBK008911,RIDE015129,2,4,Long Wait Time,Ride experience could be better
FDBK008912,RIDE067192,5,5,Bike in Poor Condition,Captain arrived late
FDBK008913,RIDE065474,1,5,,
FDBK008914,,3,5,,Captain arrived late
FDBK008915,RIDE028947,2,4,Long Wait Time,Not satisfied with behaviour
FDBK008916,RIDE060110,1,3,Long Wait Time,"Good service, will ride again"
FDBK008917,RIDE078395,2,2,Long Wait Time,"Helmet not provided, unsafe"
FDBK008918,RIDE022910,3,,Route Issues / Longer Route Taken,Ride experience could be better
FDBK008919,RIDE054902,1,4,Navigation Confusion,Ride experience could be better
FDBK008920,RIDE053042,2,4,Bike in Poor Condition,
FDBK008921,,3,4,Fare Overcharged,Captain arrived late
FDBK008922,RIDE071076,3,3,No Helmet Provided,"Good service, will ride again"
FDBK008923,RIDE000166,,4,No Issues,Traffic was handled well
FDBK008924,RIDE027954,4,5,Route Issues / Longer Route Taken,Fare charged was higher than expected
FDBK008925,RIDE002309,5,1,Long Wait Time,Ride experience could be better
FDBK008926,RIDE004446,4,4,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008927,RIDE041772,1,2,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK008928,RIDE051831,4,5,Bike in Poor Condition,Captain arrived late
FDBK008929,RIDE063129,4,1,Route Issues / Longer Route Taken,"Good service, will ride again"
FDBK008930,RIDE044662,3,3,Long Wait Time,"Helmet not provided, unsafe"
FDBK008931,RIDE009501,5,2,Bike in Poor Condition,Bike was not clean
FDBK008932,RIDE078550,4,5,Route Issues / Longer Route Taken,Captain was polite and helpful
FDBK008933,RIDE063770,1,1,Route Issues / Longer Route Taken,
FDBK008934,RIDE052194,4,4,,Ride was smooth and quick
FDBK008935,RIDE016275,1,3,Navigation Confusion,Captain arrived late
FDBK008936,RIDE043120,4,5,Fare Overcharged,"Good service, will ride again"
FDBK008937,RIDE059656,3,3,Fare Overcharged,Traffic was handled well
FDBK008938,,3,1,,Not satisfied with behaviour
FDBK008939,RIDE038934,3,4,Unsafe Driving / Speeding,Ride experience could be better
FDBK008940,RIDE035091,2,3,No Helmet Provided,"Good service, will ride again"
FDBK008941,RIDE004976,4,4,Long Wait Time,Fare charged was higher than expected
FDBK008942,RIDE079851,4,2,No Issues,"Helmet not provided, unsafe"
FDBK008943,RIDE040267,5,5,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008944,RIDE059234,2,2,Fare Overcharged,Not satisfied with behaviour
FDBK008945,RIDE050933,2,1,,"Good service, will ride again"
FDBK008946,RIDE065849,2,1,No Helmet Provided,Captain arrived late
FDBK008947,RIDE030873,1,4,Navigation Confusion,Ride was smooth and quick
FDBK008948,RIDE046474,5,3,Captain Arrived Late,"Good service, will ride again"
FDBK008949,RIDE015583,4,4,Captain Rude or Unfriendly,Traffic was handled well
FDBK008950,RIDE021833,4,2,No Issues,
FDBK008951,RIDE039472,5,4,Unsafe Driving / Speeding,Captain arrived late
FDBK008952,RIDE033478,1,1,Bike in Poor Condition,"Helmet not provided, unsafe"
FDBK008953,RIDE003480,5,3,Unsafe Driving / Speeding,Traffic was handled well
FDBK008954,RIDE036504,3,4,Long Wait Time,Captain was polite and helpful
FDBK008955,RIDE008517,2,5,Fare Overcharged,Traffic was handled well
FDBK008956,RIDE042233,4,5,Route Issues / Longer Route Taken,Not satisfied with behaviour
FDBK008957,RIDE018211,,4,Unsafe Driving / Speeding,"Helmet not provided, unsafe"
FDBK008958,RIDE045732,4,5,,Bike was not clean
FDBK008959,RIDE044577,3,5,,Ride experience could be better
FDBK008960,RIDE004399,1,1,Bike in Poor Condition,Captain was polite and helpful
FDBK008961,RIDE024565,4,1,Captain Arrived Late,"Helmet not provided, unsafe"
FDBK008962,RIDE066466,1,,Route Issues / Longer Route Taken,Ride was smooth and quick
FDBK008963,RIDE064613,5,5,Captain Arrived Late,Bike was not clean
FDBK008964,RIDE037304,4,4,Unsafe Driving / Speeding,Bike was not clean
FDBK008965,,5,,Route Issues / Longer Route Taken,Traffic was handled well
FDBK008966,,2,2,No Helmet Provided,Bike was not clean
FDBK008967,RIDE032232,5,1,Captain Rude or Unfriendly,Captain arrived late
FDBK008968,RIDE044328,1,5,Captain Rude or Unfriendly,Captain was polite and helpful
FDBK008969,RIDE066823,5,4,,Not satisfied with behaviour
FDBK008970,RIDE071111,3,3,Fare Overcharged,Captain was polite and helpful
FDBK008971,RIDE053841,4,5,Unsafe Driving / Speeding,Bike was not clean
FDBK008972,RIDE049268,,5,Fare Overcharged,Captain was polite and helpful
FDBK008973,RIDE070091,2,2,Navigation Confusion,
FDBK008974,RIDE037201,3,5,Captain Rude or Unfriendly,Ride experience could be better
FDBK008975,RIDE001455,4,4,Long Wait Time,Fare charged was higher than expected
FDBK008976,RIDE058648,1,,Captain Arrived Late,"Good service, will ride again"
FDBK008977,,4,3,Captain Rude or Unfriendly,
FDBK008978,RIDE008218,4,3,Unsafe Driving / Speeding,Captain was polite and helpful
FDBK008979,RIDE073257,2,4,Long Wait Time,Traffic was handled well
FDBK008980,RIDE053098,2,4,No Helmet Provided,
FDBK008981,RIDE019324,2,4,Navigation Confusion,"Good service, will ride again"
FDBK008982,RIDE039149,5,5,Captain Rude or Unfriendly,
FDBK008983,RIDE071532,5,4,Captain Rude or Unfriendly,"Helmet not provided, unsafe"
FDBK008984,,3,3,Unsafe Driving / Speeding,
FDBK008985,RIDE013055,2,3,Captain Rude or Unfriendly,Ride experience could be better
FDBK008986,RIDE062067,3,3,No Helmet Provided,"Helmet not provided, unsafe"
FDBK008987,RIDE043460,2,2,Captain Arrived Late,Not satisfied with behaviour
FDBK008988,RIDE067097,2,4,No Helmet Provided,Ride was smooth and quick
FDBK008989,RIDE072448,1,5,Navigation Confusion,Ride was smooth and quick
FDBK008990,RIDE079868,1,4,Fare Overcharged,Not satisfied with behaviour
FDBK008991,RIDE075710,3,5,Captain Arrived Late,Not satisfied with behaviour
FDBK008992,RIDE033130,4,1,No Helmet Provided,Ride experience could be better
FDBK008993,RIDE014991,2,2,No Issues,Ride experience could be better
FDBK008994,RIDE044948,2,4,Route Issues / Longer Route Taken,Captain arrived late
FDBK008995,RIDE076069,5,2,Captain Rude or Unfriendly,Fare charged was higher than expected
FDBK008996,,1,1,No Issues,Fare charged was higher than expected
FDBK008997,,5,1,Bike in Poor Condition,Ride experience could be better
FDBK008998,RIDE078333,4,3,Captain Rude or Unfriendly,
FDBK008999,RIDE012487,3,,Long Wait Time,Bike was not clean
FDBK009000,RIDE072665,3,3,Long Wait Time,Captain arrived late
FDBK009001,RIDE017731,,2,Route Issues / Longer Route Taken,Ride experience could be better
FDBK009002,RIDE011771,,2,Captain Arrived Late,Captain arrived late
FDBK009003,RIDE053393,4,,Navigation Confusion,Not satisfied with behaviour
FDBK009004,RIDE035567,3,4,Route Issues / Longer Route Taken,Captain arrived late
FDBK009005,RIDE054694,1,3,Unsafe Driving / Speeding,"Good service, will ride again"
FDBK009006,RIDE025576,4,1,No Helmet Provided,Fare charged was higher than expected
FDBK009007,RIDE010238,4,4,Captain Rude or Unfriendly,
FDBK009008,RIDE022713,5,3,Fare Overcharged,Ride experience could be better
